datetime,severity,event_type,message,details
2026-04-26T11:18:01.853377,ERROR,CYCLE_FAILED,Trading cycle exception,error=CCXTBroker.get_balance() takes 1 positional argument but 2 were given
2026-04-26T11:19:01.922834,INFO,CYCLE_READONLY,Starting trading cycle in read-only mode,"strategy=simple_reversal_strategy, symbol=BTC/GBP, interval=1h"
2026-04-26T11:19:01.940852,INFO,CONFIG,Trading parameters,"position_size_pct=0.1, stop_pct=0.01, take_profit_pct=0.05"
2026-04-26T11:19:01.959264,ERROR,CYCLE_FAILED,Trading cycle exception,error=CCXTBroker.get_balance() takes 1 positional argument but 2 were given
2026-04-26T11:20:02.027178,INFO,CYCLE_READONLY,Starting trading cycle in read-only mode,"strategy=simple_reversal_strategy, symbol=BTC/GBP, interval=1h"
2026-04-26T11:20:02.045682,INFO,CONFIG,Trading parameters,"position_size_pct=0.1, stop_pct=0.01, take_profit_pct=0.05"
2026-04-26T11:20:02.064109,ERROR,CYCLE_FAILED,Trading cycle exception,error=CCXTBroker.get_balance() takes 1 positional argument but 2 were given
2026-04-26T11:21:01.129192,INFO,CYCLE_READONLY,Starting trading cycle in read-only mode,"strategy=simple_reversal_strategy, symbol=BTC/GBP, interval=1h"
2026-04-26T11:21:01.146784,INFO,CONFIG,Trading parameters,"position_size_pct=0.1, stop_pct=0.01, take_profit_pct=0.05"
2026-04-26T11:21:01.167099,ERROR,CYCLE_FAILED,Trading cycle exception,error=CCXTBroker.get_balance() takes 1 positional argument but 2 were given
2026-04-26T11:22:01.233114,INFO,CYCLE_READONLY,Starting trading cycle in read-only mode,"strategy=simple_reversal_strategy, symbol=BTC/GBP, interval=1h"
2026-04-26T11:22:01.251311,INFO,CONFIG,Trading parameters,"position_size_pct=0.1, stop_pct=0.01, take_profit_pct=0.05"
2026-04-26T11:22:01.266350,ERROR,CYCLE_FAILED,Trading cycle exception,error=CCXTBroker.get_balance() takes 1 positional argument but 2 were given
2026-04-26T11:23:01.343569,INFO,CYCLE_READONLY,Starting trading cycle in read-only mode,"strategy=simple_reversal_strategy, symbol=BTC/GBP, interval=1h"
2026-04-26T11:23:01.360917,INFO,CONFIG,Trading parameters,"position_size_pct=0.1, stop_pct=0.01, take_profit_pct=0.05"
