Date,Open,High,Low,Close,Adj Close,Volume
2019-06-04,152.712006,152.712006,152.712006,152.712006,152.712006,0
2019-06-05,151.005997,151.005997,151.005997,151.005997,151.005997,0
2019-06-06,153.082993,153.082993,153.082993,153.082993,153.082993,0
2019-06-07,153.526993,153.526993,153.526993,153.526993,153.526993,0
2019-06-10,154.276993,154.276993,154.276993,154.276993,154.276993,0
2019-06-11,155.037994,155.037994,155.037994,155.037994,155.037994,0
2019-06-12,155.442001,155.442001,155.442001,155.442001,155.442001,0
2019-06-13,157.369003,157.369003,157.369003,157.369003,157.369003,0
2019-06-14,158.035995,158.035995,158.035995,158.035995,158.035995,0
2019-06-17,157.115997,157.115997,157.115997,157.115997,157.115997,0
2019-06-18,158.056000,158.056000,158.056000,158.056000,158.056000,0
2019-06-19,157.460007,157.460007,157.460007,157.460007,157.460007,0
2019-06-20,160.227005,160.227005,160.227005,160.227005,160.227005,0
2019-06-21,158.772003,158.772003,158.772003,158.772003,158.772003,0
2019-06-24,159.947998,159.947998,159.947998,159.947998,159.947998,0
2019-06-25,159.934998,159.934998,159.934998,159.934998,159.934998,0
2019-06-26,158.699005,158.699005,158.699005,158.699005,158.699005,0
2019-06-27,158.203995,158.203995,158.203995,158.203995,158.203995,0
2019-06-28,159.306000,159.306000,159.306000,159.306000,159.306000,0
2019-07-01,159.028000,159.028000,159.028000,159.028000,159.028000,0
2019-07-02,158.602997,158.602997,158.602997,158.602997,158.602997,0
2019-07-03,159.667999,159.667999,159.667999,159.667999,159.667999,0
2019-07-04,159.873001,159.873001,159.873001,159.873001,159.873001,0
2019-07-05,160.175995,160.175995,160.175995,160.175995,160.175995,0
2019-07-08,158.244003,158.244003,158.244003,158.244003,158.244003,0
2019-07-09,159.037003,159.037003,159.037003,159.037003,159.037003,0
2019-07-10,159.617996,159.617996,159.617996,159.617996,159.617996,0
2019-07-11,160.835007,160.835007,160.835007,160.835007,160.835007,0
2019-07-12,160.057007,160.057007,160.057007,160.057007,160.057007,0
2019-07-15,161.809998,161.809998,161.809998,161.809998,161.809998,0
2019-07-16,163.473999,163.473999,163.473999,163.473999,163.473999,0
2019-07-17,164.151993,164.151993,164.151993,164.151993,164.151993,0
2019-07-18,164.278000,164.278000,164.278000,164.278000,164.278000,0
2019-07-19,166.205002,166.205002,166.205002,166.205002,166.205002,0
2019-07-22,166.865997,166.865997,166.865997,166.865997,166.865997,0
2019-07-23,166.257996,166.257996,166.257996,166.257996,166.257996,0
